"","loan_status","loan_amnt","grade","home_ownership","annual_inc","age","ir_cat","emp_cat"
"20580","0",2400,"B","RENT",21360,30,"8-11","0-15"
"18771","0",3000,"B","RENT",24996,21,"11-13.5","0-15"
"9889","0",4500,"A","RENT",36000,27,"0-8","15-30"
"16042","0",20000,"C","RENT",77004,22,"13.5+","0-15"
"25662","0",6000,"A","MORTGAGE",77000,20,"0-8","15-30"
"26291","0",3000,"D","MORTGAGE",41600,22,"13.5+","0-15"
"4703","0",26000,"C","RENT",85000,45,"13.5+","0-15"
"27926","0",6000,"B","RENT",60000,29,"8-11","0-15"
"21406","0",13050,"D","MORTGAGE",140000,26,"13.5+","0-15"
"10502","0",6500,"B","RENT",63360,27,"8-11","0-15"
"21233","0",20500,"D","RENT",48000,39,"13.5+","0-15"
"5497","0",6400,"A","RENT",62758,22,"8-11","0-15"
"21109","0",15000,"B","RENT",111000,22,"8-11","0-15"
"6246","0",10000,"C","MORTGAGE",54000,33,"13.5+","0-15"
"1167","0",13975,"A","MORTGAGE",42000,25,"8-11","0-15"
"18380","0",4000,"B","OWN",35004,28,"11-13.5","0-15"
"19476","0",24250,"B","RENT",87000,38,"Missing","0-15"
"17596","0",10000,"C","RENT",43080,27,"13.5+","0-15"
"14236","0",11000,"B","MORTGAGE",81000,38,"8-11","0-15"
"11485","0",12000,"A","RENT",84695,36,"0-8","0-15"
"8219","0",6000,"B","RENT",66000,22,"8-11","0-15"
"21205","0",10000,"B","MORTGAGE",115752,27,"11-13.5","0-15"
"13041","0",15000,"A","MORTGAGE",47000,22,"0-8","0-15"
"1803","0",11200,"D","RENT",36840,25,"13.5+","0-15"
"26150","0",5000,"C","RENT",48996,24,"13.5+","0-15"
"26968","0",6800,"C","MORTGAGE",53000,32,"11-13.5","0-15"
"20051","0",2400,"B","OWN",63500,38,"11-13.5","0-15"
"23246","0",25000,"C","RENT",84000,36,"11-13.5","0-15"
"7297","0",12000,"A","RENT",54000,24,"8-11","0-15"
"20000","0",2100,"A","RENT",40000,22,"0-8","0-15"
"23224","0",2400,"B","RENT",32995,22,"11-13.5","0-15"
"4589","0",4000,"D","RENT",32500,24,"13.5+","0-15"
"6664","0",17625,"A","MORTGAGE",120000,54,"0-8","0-15"
"21300","0",3000,"B","RENT",18864,21,"8-11","0-15"
"12318","0",1800,"C","RENT",23766,31,"11-13.5","0-15"
"7861","0",10950,"A","RENT",47908,37,"0-8","0-15"
"21321","0",2500,"B","RENT",26400,25,"8-11","Missing"
"19898","0",9250,"B","MORTGAGE",84000,34,"11-13.5","0-15"
"10776","0",3000,"A","RENT",23000,22,"0-8","0-15"
"16245","0",20000,"A","MORTGAGE",60000,24,"0-8","0-15"
"5513","0",15000,"B","MORTGAGE",109000,33,"11-13.5","Missing"
"11633","0",7000,"B","RENT",150000,26,"8-11","0-15"
"15988","0",15000,"A","RENT",40000,34,"Missing","0-15"
"5135","0",7200,"B","MORTGAGE",95000,22,"11-13.5","0-15"
"15323","0",12000,"A","MORTGAGE",85000,22,"0-8","0-15"
"14580","0",2000,"A","RENT",58020,25,"0-8","0-15"
"1212","0",12000,"C","RENT",75000,23,"13.5+","0-15"
"4140","0",2500,"A","MORTGAGE",36000,41,"0-8","0-15"
"24542","0",11500,"A","MORTGAGE",30000,25,"8-11","0-15"
"24264","0",6000,"C","RENT",40500,32,"13.5+","0-15"
"9220","0",1000,"A","RENT",29311,35,"0-8","Missing"
"26541","0",11000,"D","RENT",35000,24,"13.5+","0-15"
"5727","0",15000,"A","OWN",40000,39,"0-8","0-15"
"4751","0",1000,"C","RENT",75000,27,"11-13.5","0-15"
"25252","0",8400,"C","MORTGAGE",153000,32,"11-13.5","0-15"
"25277","0",9000,"B","RENT",100500,25,"Missing","0-15"
"18833","1",6000,"D","MORTGAGE",65827,47,"13.5+","0-15"
"3652","0",9350,"B","MORTGAGE",42000,22,"11-13.5","0-15"
"11705","0",3000,"D","RENT",46750,30,"13.5+","0-15"
"389","0",15000,"B","RENT",60000,22,"11-13.5","0-15"
"26458","0",10000,"A","RENT",40000,26,"8-11","0-15"
"14260","0",10000,"B","MORTGAGE",51000,32,"8-11","0-15"
"3834","0",8700,"A","RENT",28000,23,"0-8","0-15"
"21146","0",14000,"F","RENT",50000,28,"13.5+","0-15"
"2544","0",8000,"A","MORTGAGE",50000,22,"0-8","0-15"
"26750","0",16000,"B","RENT",84000,27,"11-13.5","0-15"
"23752","0",10000,"A","MORTGAGE",56000,23,"8-11","0-15"
"24223","0",4550,"C","RENT",130000,26,"13.5+","0-15"
"3000","0",9000,"A","MORTGAGE",55000,27,"0-8","0-15"
"21401","0",13750,"B","MORTGAGE",66200,39,"8-11","0-15"
"937","0",6000,"A","RENT",24000,26,"0-8","0-15"
"10159","1",13000,"B","RENT",60000,22,"8-11","0-15"
"28790","0",2100,"A","OWN",19800,22,"8-11","0-15"
"17544","0",8000,"B","RENT",91000,22,"11-13.5","0-15"
"19035","0",15000,"A","MORTGAGE",78000,36,"0-8","0-15"
"15036","0",4800,"B","MORTGAGE",120000,30,"8-11","0-15"
"1714","0",9000,"B","RENT",45000,29,"11-13.5","0-15"
"17864","0",5000,"D","RENT",44500,24,"13.5+","0-15"
"16576","0",10000,"B","RENT",40000,23,"8-11","0-15"
"27530","0",20000,"C","MORTGAGE",110000,22,"11-13.5","0-15"
"26156","0",13000,"A","MORTGAGE",56000,37,"8-11","0-15"
"2024","0",5200,"C","RENT",45000,27,"11-13.5","0-15"
"16611","0",4500,"B","MORTGAGE",61200,27,"11-13.5","0-15"
"19353","1",5000,"C","RENT",66000,29,"13.5+","0-15"
"5977","0",5000,"C","RENT",52000,34,"13.5+","0-15"
"22761","0",8000,"C","MORTGAGE",94965,23,"11-13.5","0-15"
"2708","1",3800,"A","MORTGAGE",47000,29,"0-8","0-15"
"28481","1",25000,"B","MORTGAGE",52000,31,"8-11","0-15"
"25251","0",8000,"F","MORTGAGE",75000,31,"13.5+","0-15"
"12894","1",18000,"F","MORTGAGE",95000,31,"13.5+","0-15"
"24115","0",2400,"B","RENT",49800,23,"11-13.5","0-15"
"1476","0",12000,"D","MORTGAGE",105000,24,"13.5+","0-15"
"13995","0",4325,"A","MORTGAGE",45000,25,"0-8","0-15"
"12618","0",6000,"A","RENT",61500,33,"0-8","0-15"
"528","0",3000,"A","RENT",45000,25,"0-8","0-15"
"6764","1",7500,"A","MORTGAGE",60000,29,"0-8","0-15"
"28584","1",15000,"C","RENT",36000,22,"11-13.5","0-15"
"23380","0",7500,"B","RENT",57000,31,"11-13.5","0-15"
"24851","0",15000,"D","MORTGAGE",171996,34,"13.5+","0-15"
"19750","0",15000,"C","MORTGAGE",104004,26,"13.5+","0-15"
"27698","0",10000,"B","RENT",54000,25,"11-13.5","0-15"
"15139","0",25000,"C","RENT",50004,22,"11-13.5","0-15"
"8118","0",10000,"B","MORTGAGE",44000,24,"8-11","0-15"
"5665","1",1500,"C","RENT",14400,25,"11-13.5","0-15"
"28732","0",1850,"A","RENT",35000,24,"0-8","0-15"
"24818","0",4000,"B","RENT",55000,23,"11-13.5","0-15"
"897","0",10000,"B","RENT",32000,27,"11-13.5","0-15"
"14656","0",6250,"B","MORTGAGE",54000,28,"8-11","0-15"
"15031","0",15000,"B","MORTGAGE",61104,31,"8-11","0-15"
"1997","0",17050,"C","MORTGAGE",40800,22,"Missing","0-15"
"17428","0",15000,"B","RENT",67704,29,"11-13.5","0-15"
"13306","0",8400,"A","RENT",60000,25,"0-8","0-15"
"21534","0",1400,"C","RENT",30000,25,"11-13.5","0-15"
"10857","0",16000,"E","RENT",1e+05,26,"13.5+","0-15"
"28032","0",7000,"B","RENT",33000,22,"Missing","0-15"
"13669","0",7000,"A","MORTGAGE",57000,23,"Missing","0-15"
"8659","0",1400,"B","RENT",18576,27,"8-11","0-15"
"7916","0",8000,"A","MORTGAGE",24000,24,"0-8","0-15"
"7670","1",5775,"A","MORTGAGE",35554,22,"0-8","Missing"
"22022","0",15200,"B","MORTGAGE",51000,22,"8-11","0-15"
"8812","0",1525,"C","RENT",26989.22,26,"13.5+","0-15"
"6640","0",16000,"B","MORTGAGE",40000,37,"8-11","0-15"
"16985","0",25000,"B","MORTGAGE",105000,28,"11-13.5","0-15"
"7652","0",10000,"B","RENT",19200,21,"8-11","0-15"
"4516","0",3000,"A","MORTGAGE",45000,39,"0-8","0-15"
"8773","0",2400,"A","RENT",48000,23,"8-11","0-15"
"5583","1",10175,"C","RENT",158000,27,"11-13.5","0-15"
"19628","0",15000,"C","RENT",36000,22,"13.5+","0-15"
"28228","0",3600,"B","RENT",110000,30,"8-11","0-15"
"14962","0",16800,"A","MORTGAGE",120000,34,"0-8","0-15"
"26600","0",12000,"E","MORTGAGE",36000,34,"13.5+","0-15"
"13464","0",25000,"D","MORTGAGE",88000,24,"13.5+","0-15"
"1023","0",3000,"A","MORTGAGE",70000,31,"8-11","0-15"
"28996","0",10000,"C","MORTGAGE",30000,38,"11-13.5","0-15"
"24687","0",12700,"A","RENT",70000,23,"Missing","0-15"
"10861","0",7000,"A","RENT",30600,21,"0-8","Missing"
"6301","0",21000,"B","MORTGAGE",145000,37,"11-13.5","0-15"
"15401","0",17500,"A","RENT",60000,26,"0-8","0-15"
"16503","0",5000,"C","RENT",75000,50,"11-13.5","0-15"
"3278","0",7000,"C","RENT",60000,26,"11-13.5","0-15"
"25172","0",12000,"B","RENT",104000,26,"11-13.5","0-15"
"7701","1",7000,"D","OWN",144000,28,"13.5+","0-15"
"19128","0",5600,"C","RENT",69996,23,"11-13.5","15-30"
"2642","0",3000,"A","RENT",29102.88,30,"0-8","0-15"
"24822","0",6775,"A","MORTGAGE",116004,31,"8-11","0-15"
"19404","0",8000,"C","RENT",70000,30,"11-13.5","0-15"
"18109","0",1500,"C","RENT",54000,26,"13.5+","0-15"
"27255","0",4650,"A","RENT",31970,21,"8-11","0-15"
"7386","0",20000,"B","MORTGAGE",80000,36,"8-11","0-15"
"16056","0",3000,"A","RENT",48000,78,"0-8","30-45"
"13696","0",6125,"A","MORTGAGE",60000,22,"0-8","0-15"
"21888","0",6000,"A","MORTGAGE",46500,30,"0-8","0-15"
"13933","0",15000,"D","RENT",54996,28,"13.5+","0-15"
"12196","0",8500,"A","RENT",60000,51,"0-8","0-15"
"26529","1",8500,"C","MORTGAGE",75000,30,"Missing","0-15"
"14647","0",6000,"A","MORTGAGE",54000,25,"0-8","0-15"
"4088","1",5000,"D","RENT",36000,22,"13.5+","0-15"
"15174","0",12000,"B","RENT",84300,30,"8-11","0-15"
"2913","0",35000,"A","MORTGAGE",95000,29,"0-8","0-15"
"5758","0",18000,"C","RENT",1e+05,34,"11-13.5","0-15"
"5719","0",6000,"C","RENT",65000,23,"13.5+","0-15"
"16443","0",4000,"C","OWN",60000,27,"13.5+","0-15"
"5463","0",2425,"A","RENT",36000,23,"8-11","0-15"
"9988","0",4000,"A","MORTGAGE",67000,32,"Missing","15-30"
"2769","0",12000,"A","MORTGAGE",65000,26,"0-8","0-15"
"7622","0",8000,"B","RENT",26400,35,"Missing","0-15"
"22103","0",16525,"C","RENT",70000,26,"13.5+","0-15"
"22598","0",15000,"B","MORTGAGE",1e+05,30,"11-13.5","15-30"
"28417","0",20000,"D","MORTGAGE",84000,23,"11-13.5","0-15"
"14985","0",4050,"A","RENT",14400,24,"0-8","0-15"
"14847","0",12500,"B","RENT",130000,32,"8-11","0-15"
"13571","0",6000,"A","RENT",70000,36,"0-8","0-15"
"25943","0",5000,"B","RENT",48000,27,"11-13.5","0-15"
"5705","0",17000,"C","RENT",170000,39,"11-13.5","0-15"
"8572","0",6000,"A","MORTGAGE",47000,23,"0-8","0-15"
"14271","0",11000,"A","MORTGAGE",126000,29,"0-8","0-15"
"18372","0",4000,"A","RENT",56800,28,"0-8","0-15"
"28809","0",9325,"A","RENT",12000,32,"8-11","0-15"
"4067","0",6400,"B","RENT",50000,25,"8-11","0-15"
"9524","1",6775,"B","MORTGAGE",84000,27,"8-11","0-15"
"20151","0",2500,"D","RENT",20000,25,"13.5+","0-15"
"24215","1",15000,"B","MORTGAGE",182496,27,"11-13.5","0-15"
"25839","0",2500,"C","RENT",14400,26,"11-13.5","0-15"
"26660","0",1000,"A","MORTGAGE",68000,23,"0-8","0-15"
"21470","0",14000,"E","RENT",103560,33,"13.5+","0-15"
"6593","0",11000,"D","MORTGAGE",39960,29,"13.5+","15-30"
"9464","0",4900,"A","MORTGAGE",32000,26,"0-8","0-15"
"6616","0",29100,"D","RENT",70000,22,"13.5+","0-15"
"19564","0",5000,"A","MORTGAGE",48000,22,"0-8","0-15"
"24910","0",7000,"B","RENT",65000,24,"11-13.5","0-15"
"259","0",14400,"B","MORTGAGE",40000,22,"11-13.5","0-15"
"26203","1",10000,"C","MORTGAGE",36000,23,"13.5+","15-30"
"20452","0",9000,"A","MORTGAGE",165000,40,"0-8","15-30"
"27718","0",1000,"A","MORTGAGE",72000,29,"0-8","0-15"
"28310","0",18500,"B","RENT",34300,24,"8-11","0-15"
"19901","0",5000,"C","RENT",22800,22,"13.5+","0-15"
"801","0",12000,"A","MORTGAGE",35000,36,"8-11","0-15"
"28195","0",4500,"C","RENT",37342.5,22,"11-13.5","0-15"
"28522","0",900,"A","OWN",57000,25,"8-11","0-15"
"19377","0",2100,"A","RENT",11292,30,"0-8","Missing"
"12869","0",12800,"A","MORTGAGE",1e+05,24,"0-8","0-15"
"20357","0",6000,"A","MORTGAGE",102000,23,"0-8","0-15"
"13783","0",2800,"B","RENT",47000,45,"8-11","0-15"
"10122","0",1750,"B","MORTGAGE",10800,24,"8-11","0-15"
"10196","0",10000,"B","MORTGAGE",41000,42,"8-11","15-30"
"23187","0",5000,"C","MORTGAGE",110000,31,"13.5+","0-15"
"13343","0",12150,"B","MORTGAGE",67000,24,"8-11","0-15"
"18001","0",25000,"D","RENT",77000,22,"13.5+","0-15"
"24299","0",20000,"B","OWN",37584,28,"11-13.5","0-15"
"2268","0",7000,"A","RENT",75000,26,"8-11","0-15"
"22874","0",4800,"B","MORTGAGE",99400,28,"Missing","0-15"
"10931","0",6800,"B","RENT",65700,22,"8-11","0-15"
"23058","0",12000,"B","OWN",70000,22,"11-13.5","0-15"
"27608","1",7000,"E","MORTGAGE",48500,22,"13.5+","0-15"
"22196","0",13000,"A","MORTGAGE",108000,26,"8-11","0-15"
"4780","0",26000,"C","MORTGAGE",78000,30,"13.5+","0-15"
"8432","0",25000,"B","OWN",125000,25,"8-11","15-30"
"28679","0",4000,"A","MORTGAGE",65000,23,"0-8","0-15"
"10602","0",9600,"A","MORTGAGE",125000.32,26,"0-8","0-15"
"6918","0",24000,"B","MORTGAGE",65000,28,"8-11","15-30"
"28411","0",14000,"D","RENT",62500,27,"13.5+","0-15"
"2342","0",5200,"C","RENT",30000,23,"13.5+","0-15"
"13947","1",5000,"C","RENT",28000,23,"13.5+","0-15"
"14675","0",10000,"E","MORTGAGE",82000,35,"13.5+","0-15"
"20435","0",9500,"D","RENT",27000,22,"13.5+","0-15"
"14369","0",3125,"C","RENT",20400,23,"11-13.5","0-15"
"28902","0",9000,"B","RENT",38000,28,"8-11","0-15"
"14413","0",2500,"B","MORTGAGE",35000,26,"8-11","0-15"
"5216","0",4800,"C","RENT",27000,21,"11-13.5","Missing"
"25881","0",20000,"E","RENT",117000,28,"Missing","0-15"
"20150","0",20000,"D","RENT",1e+05,22,"13.5+","0-15"
"11779","0",5500,"A","OWN",20000,35,"0-8","0-15"
"14868","0",9250,"B","MORTGAGE",52800,31,"8-11","Missing"
"3260","0",12000,"A","MORTGAGE",240000,29,"0-8","15-30"
"2214","0",15000,"A","RENT",31200,21,"0-8","Missing"
"4051","1",9000,"C","RENT",115000,33,"13.5+","0-15"
"5551","0",21000,"B","MORTGAGE",127000,27,"8-11","0-15"
"19746","0",15000,"B","RENT",87800,22,"11-13.5","0-15"
"20498","0",10000,"C","RENT",35000,24,"11-13.5","0-15"
"1446","0",12000,"A","RENT",50000,31,"0-8","0-15"
"14963","0",6500,"A","RENT",40116.12,21,"0-8","0-15"
"6400","0",2000,"D","RENT",9600,21,"13.5+","0-15"
"12052","0",5800,"A","MORTGAGE",30280,23,"0-8","0-15"
"6096","0",4400,"A","MORTGAGE",63000,27,"0-8","0-15"
"4162","0",3600,"D","MORTGAGE",36000,24,"13.5+","0-15"
"16010","0",10000,"D","RENT",33900,28,"13.5+","0-15"
"6092","1",10000,"C","RENT",84996,23,"13.5+","0-15"
"7730","0",7000,"A","RENT",50000,23,"Missing","0-15"
"6387","0",5000,"B","RENT",20520,30,"8-11","0-15"
"24070","1",1750,"A","RENT",9600,21,"8-11","0-15"
"27273","0",7000,"A","RENT",111000,23,"0-8","0-15"
"25779","0",15000,"B","RENT",85000,21,"8-11","0-15"
"5828","0",4000,"D","RENT",45000,24,"Missing","0-15"
"16313","0",1800,"A","RENT",35000,24,"0-8","0-15"
"13038","0",6500,"A","MORTGAGE",97192,30,"0-8","0-15"
"23477","0",15000,"A","RENT",75000,76,"8-11","15-30"
"9118","0",7200,"B","RENT",68000,34,"Missing","0-15"
"18510","0",2000,"B","MORTGAGE",55200,23,"11-13.5","0-15"
"28720","0",15000,"C","RENT",1e+05,29,"11-13.5","0-15"
"19664","1",4975,"A","RENT",34000,22,"0-8","0-15"
"4220","0",5000,"B","MORTGAGE",130000,24,"11-13.5","0-15"
"9296","0",9600,"D","MORTGAGE",65000,54,"13.5+","0-15"
"11208","0",7000,"A","RENT",60000,25,"0-8","0-15"
"12639","0",2500,"B","RENT",36000,32,"8-11","0-15"
"11556","0",13000,"A","MORTGAGE",60000,24,"0-8","0-15"
"13076","0",18000,"B","MORTGAGE",120000,27,"8-11","15-30"
"24575","0",15000,"A","RENT",62280,25,"8-11","0-15"
"20057","0",17600,"B","RENT",70000,24,"8-11","0-15"
"18795","0",2800,"A","MORTGAGE",52800,46,"0-8","0-15"
"24738","0",2000,"A","MORTGAGE",70000,31,"0-8","0-15"
"11049","0",12000,"B","RENT",43680,26,"8-11","0-15"
"9707","0",4800,"C","MORTGAGE",105000,25,"13.5+","15-30"
"17255","0",12000,"D","MORTGAGE",60000,30,"13.5+","0-15"
"4052","0",5000,"C","RENT",38400,28,"Missing","0-15"
"13845","0",4000,"D","RENT",35000,21,"13.5+","0-15"
"5214","0",15000,"B","MORTGAGE",185000,30,"8-11","0-15"
"4701","0",23450,"A","MORTGAGE",95000,28,"0-8","0-15"
"15864","0",12000,"A","RENT",70000,31,"Missing","0-15"
"11021","0",12000,"A","MORTGAGE",75000,26,"0-8","0-15"
"25017","0",20000,"B","RENT",66996,22,"11-13.5","0-15"
"8354","0",12000,"B","RENT",60000,30,"8-11","0-15"
"28802","0",13025,"B","MORTGAGE",40000,22,"8-11","0-15"
"979","0",5600,"B","MORTGAGE",35000,40,"8-11","0-15"
"1669","0",12775,"B","MORTGAGE",38000,34,"8-11","0-15"
"26818","1",20000,"C","RENT",76000,26,"11-13.5","0-15"
"22740","1",20000,"D","RENT",52000,22,"13.5+","0-15"
"21666","0",4000,"B","MORTGAGE",49510,44,"8-11","0-15"
"16604","0",3000,"B","RENT",35500,29,"11-13.5","0-15"
"23829","0",19750,"B","RENT",30000,23,"11-13.5","0-15"
"28659","0",6400,"A","MORTGAGE",50000,25,"8-11","0-15"
"4660","0",10000,"A","RENT",90000,24,"Missing","0-15"
"11831","0",6000,"B","MORTGAGE",57600,22,"8-11","0-15"
"25385","0",17000,"C","RENT",43275,24,"11-13.5","0-15"
"26478","0",19000,"B","MORTGAGE",105000,28,"11-13.5","0-15"
"15777","0",2500,"C","MORTGAGE",45600,28,"11-13.5","Missing"
"23110","0",20000,"B","MORTGAGE",47472,22,"11-13.5","0-15"
"11572","0",7500,"B","RENT",21996,30,"8-11","0-15"
"27230","0",6000,"A","RENT",62000,25,"Missing","0-15"
"4697","0",10000,"A","OWN",52000,26,"8-11","0-15"
"12462","0",10800,"A","MORTGAGE",84000,38,"Missing","15-30"
"25688","0",6400,"B","RENT",24000,21,"8-11","0-15"
"19395","0",14000,"C","RENT",60000,22,"11-13.5","0-15"
"19093","0",4800,"B","RENT",48000,24,"8-11","0-15"
"15464","0",7775,"B","MORTGAGE",35000,24,"Missing","Missing"
"23765","0",5000,"C","RENT",30000,21,"13.5+","0-15"
"11911","0",10000,"C","MORTGAGE",99000,44,"11-13.5","0-15"
"11686","0",30000,"D","MORTGAGE",106982,22,"13.5+","0-15"
"8128","0",17000,"B","RENT",90000,23,"8-11","15-30"
"17620","0",6000,"B","MORTGAGE",33600,29,"11-13.5","0-15"
"18224","0",7000,"C","RENT",40040,24,"11-13.5","0-15"
"22025","0",20000,"C","RENT",70000,29,"13.5+","0-15"
"6699","0",8000,"B","RENT",28800,22,"11-13.5","0-15"
"15575","0",25000,"B","OWN",80000,23,"8-11","15-30"
"3187","1",9400,"A","RENT",33000,41,"8-11","0-15"
"26433","0",12000,"D","RENT",62204,25,"13.5+","0-15"
"2840","0",7500,"A","RENT",66000,26,"0-8","0-15"
"17692","0",5000,"B","MORTGAGE",47000,31,"8-11","0-15"
"3839","0",4500,"A","MORTGAGE",40000,24,"0-8","0-15"
"25108","1",10875,"C","RENT",41500,22,"11-13.5","0-15"
"7196","0",7575,"A","RENT",54000,25,"0-8","0-15"
"18693","0",4800,"A","RENT",65000,24,"0-8","0-15"
"11987","0",5000,"A","MORTGAGE",60000,25,"0-8","0-15"
"21570","0",5000,"D","RENT",22000,21,"13.5+","0-15"
"13779","0",15000,"A","RENT",38400,23,"0-8","15-30"
"21365","0",8500,"B","RENT",76000,28,"Missing","0-15"
"28630","1",10100,"D","RENT",29136,26,"13.5+","0-15"
"13887","0",4400,"A","RENT",20000,21,"0-8","0-15"
"9333","0",1500,"A","MORTGAGE",35376,28,"8-11","Missing"
"7253","0",8000,"A","MORTGAGE",115000,23,"8-11","0-15"
"20553","0",5175,"B","MORTGAGE",27442.02,24,"8-11","0-15"
"14200","0",2000,"C","RENT",51996,29,"13.5+","0-15"
"20078","0",14500,"B","MORTGAGE",28800,22,"8-11","Missing"
"24364","0",3000,"C","RENT",40000,24,"Missing","0-15"
"26700","0",7000,"B","RENT",108000,35,"Missing","0-15"
"27570","0",1500,"B","MORTGAGE",56000,30,"Missing","0-15"
"9676","0",10000,"E","RENT",30000,24,"13.5+","0-15"
"8212","0",6800,"C","MORTGAGE",60635,22,"11-13.5","0-15"
"21322","0",5200,"A","RENT",38000,23,"0-8","0-15"
"4971","0",9000,"A","MORTGAGE",61200,23,"Missing","0-15"
"26032","0",16750,"C","MORTGAGE",45000,23,"11-13.5","0-15"
"20976","0",6000,"B","RENT",19200,21,"8-11","0-15"
"14869","0",20000,"A","RENT",75000,26,"Missing","0-15"
"6674","0",30000,"E","MORTGAGE",126500,29,"13.5+","15-30"
"27276","0",11000,"B","MORTGAGE",72960,34,"11-13.5","0-15"
"19755","0",5000,"D","RENT",32496,32,"Missing","0-15"
"1645","0",18000,"E","RENT",180000,24,"13.5+","15-30"
"4454","0",6000,"A","MORTGAGE",62000,21,"0-8","0-15"
"13330","0",4375,"B","OWN",16500,23,"8-11","0-15"
"9183","0",3000,"D","RENT",78000,23,"13.5+","0-15"
"20025","0",6400,"B","MORTGAGE",90000,22,"8-11","0-15"
"15845","0",1000,"B","RENT",35000,30,"8-11","0-15"
"5355","1",3550,"B","RENT",10200,40,"11-13.5","Missing"
"11357","0",5000,"E","RENT",27996,22,"13.5+","0-15"
"6529","0",5000,"B","RENT",42072,27,"11-13.5","0-15"
"497","0",3600,"C","RENT",40000,24,"11-13.5","0-15"
"9167","0",2000,"C","MORTGAGE",60000,23,"13.5+","0-15"
"22188","0",7500,"A","OWN",120000,29,"0-8","0-15"
"23607","0",12000,"A","MORTGAGE",95000,30,"8-11","0-15"
"27938","1",6000,"B","MORTGAGE",60996,40,"8-11","0-15"
"28857","0",1000,"B","RENT",5000,25,"8-11","0-15"
"10849","0",15000,"E","OWN",79200,27,"13.5+","0-15"
"5185","0",6800,"B","RENT",55000,23,"11-13.5","0-15"
"24502","0",15000,"B","RENT",54996,24,"11-13.5","0-15"
"2507","0",4600,"A","RENT",27864,23,"0-8","0-15"
"5957","0",10000,"B","MORTGAGE",110000,32,"8-11","0-15"
"13664","0",18000,"A","RENT",45996,34,"Missing","0-15"
"20198","0",6000,"A","MORTGAGE",62000,25,"0-8","0-15"
"9722","0",8000,"A","OWN",46000,27,"Missing","Missing"
"16511","0",7000,"A","RENT",40000,29,"0-8","0-15"
"17861","0",7800,"C","RENT",30100,28,"13.5+","0-15"
"22403","1",3250,"C","RENT",20400,22,"13.5+","0-15"
"12558","0",10000,"B","OWN",60000,24,"8-11","0-15"
"13202","0",7000,"A","RENT",32769,22,"0-8","0-15"
"3778","1",6000,"C","RENT",48996,29,"13.5+","0-15"
"12118","0",12000,"B","MORTGAGE",1e+05,22,"11-13.5","0-15"
"3668","0",12000,"A","RENT",90000,23,"8-11","0-15"
"16812","0",3500,"C","MORTGAGE",38500,39,"13.5+","0-15"
"14649","0",18000,"A","MORTGAGE",80000,26,"0-8","0-15"
"19442","0",20000,"B","MORTGAGE",102000,24,"8-11","30-45"
"13308","0",14000,"E","RENT",95000,23,"13.5+","0-15"
"15351","0",4000,"A","MORTGAGE",36000,28,"0-8","0-15"
"398","0",8000,"A","RENT",32400,22,"0-8","15-30"
"14681","0",9000,"C","RENT",47000,27,"11-13.5","0-15"
"19399","1",23500,"B","RENT",51600,34,"11-13.5","Missing"
"7658","0",10000,"F","MORTGAGE",185000,48,"13.5+","0-15"
"6725","0",20000,"B","RENT",70000,25,"8-11","0-15"
"18440","0",11500,"A","OWN",46800,22,"0-8","0-15"
"29077","0",5300,"A","MORTGAGE",74000,42,"8-11","0-15"
"2418","0",10000,"B","RENT",78000,22,"11-13.5","0-15"
"21939","0",4500,"B","MORTGAGE",31500,22,"8-11","0-15"
"16417","0",4500,"B","MORTGAGE",83004,29,"11-13.5","0-15"
"17031","0",15000,"B","MORTGAGE",72996,26,"8-11","0-15"
"16855","0",2000,"B","MORTGAGE",38795.4,36,"Missing","Missing"
"20857","0",25000,"C","MORTGAGE",80000,24,"Missing","0-15"
"19240","0",4000,"D","RENT",20000,28,"13.5+","0-15"
"25670","0",20000,"B","RENT",60000,23,"11-13.5","0-15"
"19461","0",12000,"B","RENT",72324,23,"8-11","0-15"
"20739","0",7750,"A","MORTGAGE",78000,22,"0-8","0-15"
"14626","0",9600,"A","MORTGAGE",140000,33,"0-8","0-15"
"21363","1",2500,"D","RENT",10000,23,"13.5+","0-15"
"7060","0",11050,"A","MORTGAGE",48712.44,29,"0-8","15-30"
"11840","0",12000,"B","RENT",63000,28,"8-11","0-15"
"11508","0",22100,"A","MORTGAGE",72000,29,"0-8","30-45"
"2215","0",6800,"B","MORTGAGE",34600,23,"11-13.5","0-15"
"831","0",16400,"C","OWN",140000,23,"13.5+","0-15"
"1483","0",30000,"D","RENT",171600,25,"13.5+","0-15"
"7161","0",16000,"B","RENT",175000,35,"11-13.5","0-15"
"5859","0",7500,"A","OWN",40000,23,"0-8","Missing"
"25290","0",6000,"C","MORTGAGE",120000,27,"13.5+","0-15"
"28129","0",7500,"C","MORTGAGE",97000,22,"11-13.5","0-15"
"16983","0",8250,"A","RENT",30000,23,"0-8","0-15"
"14990","0",9900,"A","OWN",39600,27,"0-8","0-15"
"10182","0",3000,"A","OWN",47000,22,"0-8","0-15"
"26426","0",20000,"B","MORTGAGE",120000,23,"11-13.5","15-30"
"3099","0",5150,"A","RENT",68000,44,"0-8","0-15"
"511","0",8400,"D","RENT",32000,21,"13.5+","0-15"
"7423","0",10000,"C","RENT",30000,23,"13.5+","0-15"
"12237","0",5400,"B","RENT",30000,26,"8-11","0-15"
